epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.5364,0.1534,82.86,95.15,0.001
2,0.2506,0.1076,92.42,96.87,0.001
3,0.2061,0.0798,93.67,97.72,0.001
4,0.1743,0.0728,94.73,97.8,0.001
5,0.1607,0.0772,95.18,97.82,0.001
6,0.1476,0.0683,95.59,97.92,0.001
7,0.1342,0.0564,95.93,98.27,0.001
8,0.1261,0.0555,96.24,98.48,0.001
9,0.118,0.0605,96.44,98.05,0.001
10,0.1103,0.046,96.66,98.5,0.001
11,0.1058,0.0545,96.82,98.47,0.001
12,0.1023,0.0467,96.94,98.58,0.001
13,0.1005,0.0426,97.0,98.78,0.001
14,0.0975,0.0498,97.11,98.42,0.001
15,0.0937,0.0495,97.13,98.57,0.001
